,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.3799,0.7520,0.6803,,16.5166
1,,1,1.2773,0.7969,0.7580,,17.8256
2,,2,1.1807,0.8564,0.8066,,19.1332
3,,3,1.1484,0.8672,0.8362,,20.3957
4,,4,1.1064,0.8867,0.8601,,21.6581
5,,5,1.0879,0.8818,0.8298,,22.9203
6,,6,1.0879,0.8975,0.8303,,24.1816
7,,7,1.0781,0.8994,0.8542,,25.4429
8,,8,1.0654,0.8965,0.8491,,26.7041
9,,9,1.0898,0.8906,0.8520,,27.9656
10,,10,1.1045,0.8711,0.8128,,29.2262
11,,11,1.0293,0.9160,0.8356,,30.4875
12,,12,1.0605,0.8936,0.8460,,31.7477
13,,13,1.0449,0.9062,0.8777,,33.0089
14,,14,1.0479,0.9062,0.8683,,34.2693
15,,15,1.0557,0.8965,0.8761,,35.5301
16,,16,1.0059,0.9336,0.8850,,36.7905
17,,17,1.0293,0.9141,0.8489,,38.0511
18,,18,1.0156,0.9307,0.8717,,39.3114
19,,19,1.0059,0.9307,0.8883,,40.5722
20,,20,0.9917,0.9365,0.8730,,41.8324
21,,21,1.0088,0.9287,0.9017,,43.0934
22,,22,0.9966,0.9297,0.8669,,44.3536
23,,23,0.9668,0.9570,0.8964,,45.6144
24,,24,0.9497,0.9639,0.9141,,46.8794
25,,25,0.9458,0.9629,0.9069,,48.1462
26,,26,0.9238,0.9736,0.9197,,49.4111
27,,27,0.9297,0.9727,0.9148,,50.6766
28,,28,0.9038,0.9883,0.9189,,51.9414
29,,29,0.9082,0.9834,0.9342,,53.2070
30,,30,0.8911,0.9941,0.9285,,54.4720
31,,31,0.8789,0.9980,0.9391,,55.7378
32,,32,0.8765,0.9990,0.9423,,57.0029
33,,33,0.8740,0.9990,0.9458,,58.2683
34,,34,0.8716,1.0000,0.9461,,59.5332
35,,35,0.8721,0.9990,0.9477,,60.7985
36,,36,0.8701,1.0000,0.9471,,62.0638
37,,eval,0.8701,1.0000,0.9471,0.9542,62.5827
