,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.5547,0.6504,0.6630,,16.3364
1,,1,1.2100,0.8320,0.8086,,17.6453
2,,2,1.1777,0.8535,0.8140,,18.9532
3,,3,1.1377,0.8652,0.8481,,20.2160
4,,4,1.1016,0.8877,0.8363,,21.4782
5,,5,1.1143,0.8730,0.8066,,22.7407
6,,6,1.1113,0.8682,0.8368,,24.0022
7,,7,1.1162,0.8623,0.8382,,25.2639
8,,8,1.0889,0.8857,0.7873,,26.5256
9,,9,1.0791,0.8896,0.8601,,27.7872
10,,10,1.0801,0.8896,0.8357,,29.0482
11,,11,1.0674,0.8916,0.8192,,30.3097
12,,12,1.0811,0.8818,0.8758,,31.5704
13,,13,1.0547,0.9082,0.8699,,32.8319
14,,14,1.0449,0.9053,0.8696,,34.0929
15,,15,1.0518,0.9053,0.8517,,35.3540
16,,16,1.0068,0.9346,0.8563,,36.6148
17,,17,1.0039,0.9316,0.8841,,37.8754
18,,18,1.0186,0.9268,0.8717,,39.1360
19,,19,1.0088,0.9287,0.9035,,40.3972
20,,20,1.0068,0.9385,0.8968,,41.6575
21,,21,0.9805,0.9463,0.8985,,42.9188
22,,22,1.0000,0.9307,0.8912,,44.1798
23,,23,0.9663,0.9512,0.8865,,45.4409
24,,24,0.9556,0.9570,0.9142,,46.7020
25,,25,0.9458,0.9639,0.9063,,47.9634
26,,26,0.9277,0.9717,0.9120,,49.2241
27,,27,0.9302,0.9678,0.9130,,50.4898
28,,28,0.9121,0.9814,0.9212,,51.7549
29,,29,0.9067,0.9854,0.9362,,53.0208
30,,30,0.8901,0.9951,0.9279,,54.2862
31,,31,0.8818,0.9961,0.9407,,55.5518
32,,32,0.8765,0.9990,0.9427,,56.8171
33,,33,0.8750,0.9990,0.9475,,58.0826
34,,34,0.8721,1.0000,0.9492,,59.3478
35,,35,0.8701,1.0000,0.9491,,60.6137
36,,36,0.8696,1.0000,0.9498,,61.8790
37,,eval,0.8696,1.0000,0.9498,0.9543,62.3980
