,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4170,0.7158,0.6477,,16.3433
1,,1,1.2188,0.8438,0.8222,,17.6512
2,,2,1.1650,0.8633,0.8165,,18.9582
3,,3,1.1396,0.8682,0.7736,,20.2200
4,,4,1.0811,0.8936,0.8460,,21.4828
5,,5,1.1279,0.8672,0.8227,,22.7463
6,,6,1.0996,0.8789,0.8373,,24.0086
7,,7,1.1016,0.8857,0.8455,,25.2705
8,,8,1.0957,0.8779,0.8321,,26.5321
9,,9,1.0703,0.9043,0.8356,,27.7939
10,,10,1.0771,0.9014,0.8414,,29.0549
11,,11,1.1064,0.8750,0.8418,,30.3168
12,,12,1.0625,0.9053,0.8400,,31.5775
13,,13,1.0537,0.8984,0.8672,,32.8390
14,,14,1.0586,0.9004,0.8432,,34.0998
15,,15,1.0322,0.9160,0.8577,,35.3608
16,,16,1.0400,0.9141,0.8677,,36.6255
17,,17,1.0186,0.9219,0.8865,,37.8901
18,,18,1.0176,0.9209,0.8685,,39.1545
19,,19,1.0156,0.9229,0.8836,,40.4194
20,,20,0.9976,0.9346,0.8892,,41.6834
21,,21,0.9805,0.9404,0.8846,,42.9494
22,,22,0.9800,0.9482,0.8875,,44.2137
23,,23,0.9561,0.9570,0.8973,,45.4785
24,,24,0.9771,0.9453,0.9188,,46.7432
25,,25,0.9429,0.9678,0.9099,,48.0078
26,,26,0.9248,0.9785,0.9082,,49.2722
27,,27,0.9189,0.9775,0.9118,,50.5372
28,,28,0.9077,0.9844,0.9146,,51.8015
29,,29,0.9087,0.9873,0.9352,,53.0667
30,,30,0.8965,0.9883,0.9311,,54.3311
31,,31,0.8843,0.9961,0.9413,,55.5960
32,,32,0.8789,0.9961,0.9412,,56.8613
33,,33,0.8735,0.9990,0.9453,,58.1261
34,,34,0.8726,1.0000,0.9488,,59.3906
35,,35,0.8706,1.0000,0.9504,,60.6554
36,,36,0.8696,1.0000,0.9505,,61.9199
37,,eval,0.8696,1.0000,0.9505,0.9558,62.4386
