,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8267,0.7158,0.6620,,12.9449
1,,1,0.5293,0.8125,0.7530,,13.3945
2,,2,0.5142,0.8262,0.7440,,13.8344
3,,3,0.5142,0.8213,0.6995,,14.2423
4,,4,0.3762,0.8760,0.7304,,14.6499
5,,5,0.4609,0.8389,0.8070,,15.0578
6,,6,0.3794,0.8652,0.7710,,15.4652
7,,7,0.4072,0.8682,0.8340,,15.8730
8,,8,0.3469,0.8770,0.8269,,16.2804
9,,9,0.3320,0.8936,0.8715,,16.6884
10,,10,0.2695,0.9160,0.8660,,17.0959
11,,11,0.2144,0.9238,0.8827,,17.5038
12,,12,0.1849,0.9375,0.8740,,17.9111
13,,13,0.1111,0.9688,0.9222,,18.3191
14,,14,0.0999,0.9697,0.9340,,18.7265
15,,15,0.0483,0.9941,0.9381,,19.1344
16,,eval,0.0483,0.9941,0.9381,0.9447,19.3111
