,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.9160,0.6748,0.6325,,12.9132
1,,1,0.5337,0.8174,0.7566,,13.3553
2,,2,0.5308,0.8223,0.6412,,13.7955
3,,3,0.4861,0.8389,0.7193,,14.2038
4,,4,0.4202,0.8662,0.8099,,14.6118
5,,5,0.4614,0.8320,0.7970,,15.0203
6,,6,0.3950,0.8662,0.7856,,15.4289
7,,7,0.3997,0.8652,0.8123,,15.8379
8,,8,0.3279,0.8838,0.8154,,16.2467
9,,9,0.3022,0.8945,0.8791,,16.6559
10,,10,0.2717,0.9092,0.8143,,17.0723
11,,11,0.2180,0.9277,0.8970,,17.4819
12,,12,0.1613,0.9512,0.9036,,17.8905
13,,13,0.1208,0.9629,0.9225,,18.2997
14,,14,0.0936,0.9775,0.9341,,18.7083
15,,15,0.0575,0.9854,0.9360,,19.1174
16,,eval,0.0575,0.9854,0.9360,0.9458,19.2942
