,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.7563,0.7559,0.7008,,12.9061
1,,1,0.5386,0.8164,0.7605,,13.3470
2,,2,0.5024,0.8301,0.7707,,13.7866
3,,3,0.5181,0.8281,0.7072,,14.1941
4,,4,0.4812,0.8223,0.7551,,14.6012
5,,5,0.4790,0.8438,0.6738,,15.0086
6,,6,0.3994,0.8672,0.7770,,15.4155
7,,7,0.4553,0.8535,0.7723,,15.8231
8,,8,0.3018,0.8975,0.8513,,16.2303
9,,9,0.3545,0.8789,0.8708,,16.6380
10,,10,0.2590,0.9092,0.8405,,17.0451
11,,11,0.1837,0.9336,0.8929,,17.4527
12,,12,0.1685,0.9502,0.8793,,17.8600
13,,13,0.1252,0.9619,0.9212,,18.2677
14,,14,0.0682,0.9854,0.9343,,18.6749
15,,15,0.0469,0.9912,0.9376,,19.0825
16,,eval,0.0469,0.9912,0.9376,0.9435,19.2590
