,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.7520,0.7500,0.7120,,12.9230
1,,1,0.6089,0.7891,0.7560,,13.3652
2,,2,0.6069,0.8027,0.5918,,13.8057
3,,3,0.5034,0.8223,0.6484,,14.2140
4,,4,0.5322,0.8262,0.6756,,14.6235
5,,5,0.3896,0.8672,0.7122,,15.0319
6,,6,0.3896,0.8662,0.7787,,15.4398
7,,7,0.3696,0.8711,0.7870,,15.8480
8,,8,0.3208,0.8877,0.8345,,16.2560
9,,9,0.3254,0.8906,0.8763,,16.6653
10,,10,0.2791,0.9131,0.8835,,17.0737
11,,11,0.1749,0.9424,0.8949,,17.4830
12,,12,0.1758,0.9521,0.8836,,17.8918
13,,13,0.1017,0.9775,0.9186,,18.3013
14,,14,0.0743,0.9766,0.9347,,18.7099
15,,15,0.0443,0.9922,0.9380,,19.1189
16,,eval,0.0443,0.9922,0.9380,0.9450,19.2957
