,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4121,0.7266,0.6805,,16.3350
1,,1,1.2354,0.8271,0.8108,,17.6390
2,,2,1.1660,0.8799,0.8210,,18.9421
3,,3,1.1182,0.8857,0.8448,,20.2006
4,,4,1.1221,0.8691,0.8367,,21.4586
5,,5,1.1211,0.8662,0.8148,,22.7171
6,,6,1.0996,0.8877,0.8520,,23.9755
7,,7,1.1514,0.8496,0.7958,,25.2340
8,,8,1.0723,0.9023,0.8119,,26.4923
9,,9,1.1143,0.8701,0.8394,,27.7543
10,,10,1.0918,0.8818,0.8158,,29.0158
11,,11,1.0732,0.9033,0.8268,,30.2781
12,,12,1.0312,0.9199,0.8341,,31.5397
13,,13,1.0664,0.8994,0.8495,,32.8021
14,,14,1.0273,0.9199,0.8541,,34.0639
15,,15,1.0361,0.9189,0.8548,,35.3260
16,,16,1.0312,0.9111,0.8597,,36.5878
17,,17,1.0273,0.9199,0.8688,,37.8502
18,,18,1.0039,0.9258,0.8778,,39.1132
19,,19,1.0049,0.9346,0.8983,,40.3766
20,,20,1.0098,0.9248,0.8863,,41.6392
21,,21,0.9746,0.9492,0.8875,,42.9027
22,,22,0.9858,0.9424,0.8951,,44.1653
23,,23,0.9824,0.9385,0.8971,,45.4278
24,,24,0.9600,0.9580,0.9203,,46.6898
25,,25,0.9370,0.9707,0.9053,,47.9517
26,,26,0.9253,0.9795,0.9188,,49.2132
27,,27,0.9258,0.9717,0.9039,,50.4753
28,,28,0.9146,0.9795,0.9192,,51.7367
29,,29,0.9199,0.9746,0.9341,,52.9987
30,,30,0.8979,0.9854,0.9249,,54.2601
31,,31,0.8789,0.9990,0.9383,,55.5217
32,,32,0.8779,0.9990,0.9393,,56.7829
33,,33,0.8726,1.0000,0.9429,,58.0456
34,,34,0.8716,1.0000,0.9483,,59.3067
35,,35,0.8706,1.0000,0.9472,,60.5727
36,,36,0.8696,1.0000,0.9487,,61.8383
37,,eval,0.8696,1.0000,0.9487,0.9544,62.3567
