,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8042,0.7256,0.6484,,12.9381
1,,1,0.5615,0.8135,0.7271,,13.3805
2,,2,0.5278,0.8301,0.5204,,13.8212
3,,3,0.4861,0.8271,0.6585,,14.2298
4,,4,0.5044,0.8203,0.6444,,14.6380
5,,5,0.4358,0.8477,0.7889,,15.0465
6,,6,0.3770,0.8672,0.8276,,15.4550
7,,7,0.4050,0.8623,0.7816,,15.8639
8,,8,0.3296,0.8926,0.8516,,16.2725
9,,9,0.3193,0.8965,0.8896,,16.6815
10,,10,0.3054,0.8926,0.8158,,17.0900
11,,11,0.1707,0.9521,0.8933,,17.4989
12,,12,0.1750,0.9482,0.8956,,17.9074
13,,13,0.1293,0.9658,0.9222,,18.3164
14,,14,0.0770,0.9863,0.9318,,18.7249
15,,15,0.0569,0.9873,0.9347,,19.1338
16,,eval,0.0569,0.9873,0.9347,0.9453,19.3109
