,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.9507,0.6592,0.5685,,2.3406
1,,1,0.5005,0.8330,0.7845,,4.4506
2,,2,0.5142,0.8281,0.6898,,6.6596
3,,3,0.5317,0.8320,0.3275,,8.3502
4,,4,0.4841,0.8369,0.7539,,9.7403
5,,5,0.4084,0.8564,0.8382,,11.3126
6,,6,0.3667,0.8887,0.8219,,12.6999
7,,7,0.3828,0.8877,0.8258,,14.6655
8,,8,0.2976,0.9082,0.8497,,16.5820
9,,9,0.3167,0.8965,0.8197,,18.6756
10,,10,0.3044,0.8994,0.8572,,20.5610
11,,11,0.1746,0.9492,0.8975,,22.6552
12,,12,0.1783,0.9502,0.8982,,24.5880
13,,13,0.1039,0.9688,0.9096,,26.6703
14,,14,0.0660,0.9873,0.9337,,28.6799
15,,15,0.0600,0.9854,0.9355,,30.7205
16,,eval,0.0600,0.9854,0.9355,0.9438,31.4814
