,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8130,0.7158,0.7091,,0.4792
1,,1,0.6035,0.7920,0.7714,,0.9484
2,,2,0.5854,0.8027,0.5973,,1.4583
3,,3,0.5283,0.8281,0.7343,,2.2813
4,,4,0.4580,0.8525,0.7620,,3.1816
5,,5,0.4329,0.8535,0.6816,,4.0542
6,,6,0.4033,0.8672,0.8308,,4.9121
7,,7,0.3762,0.8750,0.8100,,5.8131
8,,8,0.3040,0.8965,0.7791,,6.5997
9,,9,0.3391,0.8809,0.8670,,7.5046
10,,10,0.2666,0.9033,0.8635,,8.3529
11,,11,0.2051,0.9375,0.8800,,9.2287
12,,12,0.1572,0.9453,0.9032,,10.1204
13,,13,0.1160,0.9619,0.9164,,10.9314
14,,14,0.0889,0.9775,0.9322,,11.8889
15,,15,0.0566,0.9883,0.9350,,12.7119
16,,eval,0.0566,0.9883,0.9350,0.9428,13.0467
