,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4482,0.6953,0.6888,,18.7907
1,,1,1.2168,0.8379,0.8002,,37.2264
2,,2,1.1699,0.8672,0.7987,,55.6042
3,,3,1.1299,0.8711,0.8419,,73.4694
4,,4,1.0996,0.8770,0.8571,,91.1373
5,,5,1.0752,0.8936,0.8426,,109.0280
6,,6,1.0830,0.8916,0.8609,,126.7241
7,,7,1.1074,0.8701,0.8350,,144.6498
8,,8,1.0664,0.9033,0.8432,,162.4506
9,,9,1.0781,0.8906,0.8615,,179.9943
10,,10,1.0752,0.8809,0.8457,,197.6862
11,,11,1.0859,0.8779,0.8463,,215.5055
12,,12,1.0908,0.8848,0.8649,,233.2219
13,,13,1.0957,0.8916,0.8599,,250.9081
14,,14,1.0645,0.9023,0.8716,,268.3172
15,,15,1.0264,0.9219,0.8519,,286.1421
16,,16,1.0615,0.9014,0.8753,,303.7732
17,,17,1.0215,0.9219,0.8772,,320.1328
18,,18,1.0117,0.9316,0.8822,,336.0368
19,,19,1.0049,0.9287,0.8984,,351.6372
20,,20,1.0098,0.9326,0.8729,,367.4790
21,,21,0.9702,0.9492,0.8963,,383.2332
22,,22,1.0010,0.9365,0.8776,,399.3484
23,,23,0.9600,0.9580,0.8971,,415.2349
24,,24,0.9795,0.9453,0.9026,,431.2904
25,,25,0.9590,0.9600,0.9090,,447.1376
26,,26,0.9399,0.9678,0.9034,,463.0995
27,,27,0.9263,0.9707,0.9109,,478.9741
28,,28,0.9141,0.9814,0.9154,,495.1053
29,,29,0.9131,0.9795,0.9349,,511.0267
30,,30,0.8916,0.9902,0.9352,,527.2289
31,,31,0.8818,0.9941,0.9394,,543.1824
32,,32,0.8789,0.9980,0.9391,,559.4831
33,,33,0.8730,0.9990,0.9460,,575.5495
34,,34,0.8735,0.9980,0.9488,,591.6736
35,,35,0.8706,1.0000,0.9500,,607.6701
36,,36,0.8701,1.0000,0.9503,,623.8482
37,,eval,0.8701,1.0000,0.9503,0.9562,629.7752
