,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4648,0.7080,0.7255,,16.7293
1,,1,1.2314,0.8262,0.7976,,33.4320
2,,2,1.1650,0.8652,0.8432,,50.0948
3,,3,1.1172,0.8896,0.8233,,66.0290
4,,4,1.1270,0.8770,0.7546,,82.1791
5,,5,1.1152,0.8760,0.8448,,98.1824
6,,6,1.0859,0.8926,0.8466,,114.2017
7,,7,1.0928,0.8848,0.8247,,130.1720
8,,8,1.1016,0.8770,0.8213,,146.1903
9,,9,1.0820,0.8945,0.8521,,162.0871
10,,10,1.0752,0.9004,0.7974,,178.1104
11,,11,1.0869,0.8770,0.8390,,193.9919
12,,12,1.0430,0.9150,0.8656,,209.9626
13,,13,1.0459,0.9150,0.8639,,225.8518
14,,14,1.0498,0.9111,0.8645,,241.9512
15,,15,1.0244,0.9189,0.8279,,257.0576
16,,16,1.0322,0.9160,0.8845,,271.1742
17,,17,1.0107,0.9268,0.8604,,285.0327
18,,18,1.0195,0.9131,0.8788,,299.1398
19,,19,1.0000,0.9326,0.8947,,313.3095
20,,20,1.0000,0.9434,0.8557,,327.3427
21,,21,0.9883,0.9395,0.8954,,341.4487
22,,22,0.9780,0.9414,0.8869,,355.5190
23,,23,0.9600,0.9561,0.8979,,369.6259
24,,24,0.9819,0.9414,0.9242,,383.7123
25,,25,0.9541,0.9629,0.9009,,397.8207
26,,26,0.9336,0.9697,0.9170,,411.9449
27,,27,0.9243,0.9775,0.9130,,425.8691
28,,28,0.9067,0.9844,0.9245,,437.9749
29,,29,0.9033,0.9863,0.9362,,450.0793
30,,30,0.8848,0.9951,0.9291,,462.1440
31,,31,0.8804,0.9961,0.9397,,474.1607
32,,32,0.8760,0.9990,0.9400,,486.1526
33,,33,0.8721,1.0000,0.9425,,498.1448
34,,34,0.8706,1.0000,0.9456,,510.1380
35,,35,0.8706,0.9990,0.9469,,522.1439
36,,36,0.8701,1.0000,0.9478,,533.6373
37,,eval,0.8701,1.0000,0.9478,0.9536,537.3757
