,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4551,0.7100,0.7125,,18.7792
1,,1,1.2314,0.8359,0.8041,,37.4006
2,,2,1.1729,0.8574,0.8338,,56.0727
3,,3,1.1143,0.8877,0.8161,,73.6472
4,,4,1.1211,0.8818,0.7938,,91.3000
5,,5,1.1025,0.8828,0.8024,,109.1126
6,,6,1.0781,0.8936,0.8343,,126.5679
7,,7,1.0752,0.8965,0.8361,,144.6433
8,,8,1.0918,0.8770,0.8500,,161.9743
9,,9,1.0957,0.8799,0.8502,,179.9065
10,,10,1.0840,0.8857,0.8444,,197.6757
11,,11,1.0879,0.8818,0.8378,,215.1113
12,,12,1.0410,0.9219,0.8340,,232.8946
13,,13,1.0586,0.9023,0.8414,,250.8928
14,,14,1.0498,0.9111,0.8779,,268.7112
15,,15,1.0469,0.9072,0.8728,,286.2849
16,,16,1.0488,0.9141,0.8571,,303.4345
17,,17,1.0166,0.9248,0.8534,,321.2538
18,,18,1.0244,0.9229,0.8809,,339.0275
19,,19,0.9961,0.9326,0.8729,,356.6582
20,,20,1.0146,0.9258,0.8736,,374.5156
21,,21,0.9956,0.9316,0.8989,,392.0101
22,,22,0.9951,0.9287,0.8990,,409.6954
23,,23,0.9604,0.9492,0.9086,,427.6938
24,,24,0.9766,0.9473,0.9071,,445.4957
25,,25,0.9370,0.9697,0.9060,,463.4498
26,,26,0.9351,0.9688,0.9070,,481.2527
27,,27,0.9282,0.9717,0.9187,,499.1350
28,,28,0.9141,0.9824,0.9219,,516.8760
29,,29,0.9058,0.9844,0.9317,,534.4934
30,,30,0.8877,0.9941,0.9239,,552.3280
31,,31,0.8799,0.9951,0.9411,,570.0871
32,,32,0.8755,0.9990,0.9414,,587.9848
33,,33,0.8721,1.0000,0.9458,,605.6343
34,,34,0.8716,0.9990,0.9461,,623.3340
35,,35,0.8706,1.0000,0.9484,,641.1736
36,,36,0.8701,1.0000,0.9488,,658.8083
37,,eval,0.8701,1.0000,0.9488,0.9539,665.4212
