,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8149,0.7188,0.6729,,1.3975
1,,1,0.5596,0.8076,0.7363,,2.4116
2,,2,0.5620,0.8047,0.7228,,3.4792
3,,3,0.5679,0.8223,0.5806,,4.5306
4,,4,0.4734,0.8389,0.8249,,4.9644
5,,5,0.4407,0.8535,0.7251,,5.3784
6,,6,0.4111,0.8506,0.7649,,5.8080
7,,7,0.4050,0.8672,0.7646,,6.6392
8,,8,0.3416,0.8896,0.8399,,7.6008
9,,9,0.3691,0.8838,0.8649,,8.5349
10,,10,0.2610,0.9219,0.8810,,9.4372
11,,11,0.1967,0.9346,0.9024,,10.3819
12,,12,0.1766,0.9453,0.8729,,11.2444
13,,13,0.1219,0.9629,0.9068,,12.1952
14,,14,0.0885,0.9736,0.9320,,13.0268
15,,15,0.0481,0.9941,0.9341,,13.9712
16,,eval,0.0481,0.9941,0.9341,0.9433,14.2945
