,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8198,0.7148,0.6110,,2.6261
1,,1,0.5679,0.8008,0.7025,,5.7074
2,,2,0.5449,0.8184,0.6833,,8.2204
3,,3,0.5190,0.8281,0.7467,,10.9830
4,,4,0.4619,0.8447,0.6106,,13.8185
5,,5,0.3716,0.8760,0.7729,,16.8071
6,,6,0.4097,0.8613,0.8248,,19.7001
7,,7,0.3496,0.8926,0.8455,,22.6584
8,,8,0.3164,0.9092,0.8514,,25.5367
9,,9,0.3213,0.8926,0.7911,,28.2581
10,,10,0.2537,0.9170,0.8464,,30.4007
11,,11,0.2063,0.9336,0.9035,,32.5353
12,,12,0.1733,0.9424,0.9008,,34.4886
13,,13,0.1139,0.9639,0.9180,,35.8941
14,,14,0.0718,0.9883,0.9334,,38.0307
15,,15,0.0541,0.9893,0.9342,,40.0569
16,,eval,0.0541,0.9893,0.9342,0.9464,40.9051
