,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8267,0.7148,0.7120,,0.4454
1,,1,0.6401,0.7832,0.7503,,0.8846
2,,2,0.5786,0.8018,0.7570,,1.3234
3,,3,0.5903,0.8135,0.7330,,1.7298
4,,4,0.5103,0.8369,0.7442,,2.1939
5,,5,0.4316,0.8506,0.7755,,2.9613
6,,6,0.4490,0.8379,0.8358,,3.8374
7,,7,0.3152,0.9004,0.8007,,4.7025
8,,8,0.3120,0.8887,0.8350,,5.4844
9,,9,0.3284,0.8916,0.8600,,6.3576
10,,10,0.2764,0.9062,0.8601,,7.1456
11,,11,0.2192,0.9316,0.8757,,8.0148
12,,12,0.1527,0.9521,0.9054,,8.8753
13,,13,0.1144,0.9707,0.9226,,9.6890
14,,14,0.0899,0.9785,0.9320,,10.5568
15,,15,0.0516,0.9873,0.9362,,11.3245
16,,eval,0.0516,0.9873,0.9362,0.9454,11.7201
