,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8232,0.6953,0.6895,,0.4392
1,,1,0.5742,0.8145,0.7328,,0.8719
2,,2,0.6338,0.7764,0.6717,,1.3039
3,,3,0.4648,0.8428,0.6352,,1.7272
4,,4,0.4534,0.8535,0.7516,,2.1271
5,,5,0.3708,0.8809,0.8111,,2.5275
6,,6,0.3853,0.8789,0.7956,,2.9275
7,,7,0.3430,0.8936,0.8101,,3.3630
8,,8,0.3325,0.8867,0.7935,,3.7629
9,,9,0.3501,0.8799,0.8393,,4.1635
10,,10,0.2627,0.9150,0.8741,,4.5635
11,,11,0.2000,0.9365,0.8729,,4.9641
12,,12,0.1858,0.9473,0.8960,,5.3921
13,,13,0.1227,0.9707,0.9161,,5.7931
14,,14,0.0947,0.9766,0.9360,,6.1933
15,,15,0.0575,0.9902,0.9373,,6.5939
16,,eval,0.0575,0.9902,0.9373,0.9447,6.7686
