,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8145,0.7236,0.5961,,1.4761
1,,1,0.5649,0.8135,0.7561,,2.9351
2,,2,0.5244,0.8311,0.7689,,4.2833
3,,3,0.5200,0.8281,0.5575,,5.2524
4,,4,0.5249,0.8242,0.7695,,6.1003
5,,5,0.4192,0.8584,0.8254,,7.1025
6,,6,0.4333,0.8643,0.7651,,7.9507
7,,7,0.3784,0.8740,0.7465,,8.9458
8,,8,0.3218,0.8916,0.8427,,9.8219
9,,9,0.3328,0.8867,0.8681,,10.8143
10,,10,0.2747,0.9043,0.8557,,11.7588
11,,11,0.1838,0.9443,0.9037,,13.1597
12,,12,0.1951,0.9365,0.8945,,14.5480
13,,13,0.1164,0.9619,0.9224,,15.8626
14,,14,0.0777,0.9854,0.9369,,17.2648
15,,15,0.0547,0.9902,0.9382,,18.5241
16,,eval,0.0547,0.9902,0.9382,0.9433,19.1349
