,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4600,0.7021,0.6699,,17.2930
1,,1,1.2363,0.8223,0.7971,,34.2295
2,,2,1.1631,0.8691,0.8259,,51.1186
3,,3,1.1221,0.8721,0.8366,,65.1910
4,,4,1.1084,0.8818,0.8378,,79.5322
5,,5,1.1240,0.8691,0.7867,,93.8003
6,,6,1.1113,0.8701,0.8202,,108.1264
7,,7,1.1006,0.8828,0.8654,,122.2966
8,,8,1.0850,0.8838,0.7856,,136.5862
9,,9,1.0400,0.9150,0.8318,,150.8652
10,,10,1.0840,0.8906,0.8447,,165.1545
11,,11,1.0781,0.8896,0.8622,,179.4416
12,,12,1.0742,0.8916,0.8343,,193.7099
13,,13,1.0186,0.9336,0.8602,,207.9942
14,,14,1.0654,0.8906,0.8549,,222.1783
15,,15,1.0508,0.9043,0.8725,,234.3896
16,,16,1.0254,0.9248,0.8660,,246.5935
17,,17,1.0322,0.9043,0.8727,,258.7842
18,,18,1.0420,0.9121,0.8374,,270.9381
19,,19,0.9839,0.9443,0.9026,,283.1211
20,,20,1.0127,0.9316,0.8826,,295.3142
21,,21,0.9790,0.9512,0.8987,,307.5520
22,,22,1.0020,0.9268,0.9051,,319.8077
23,,23,0.9736,0.9502,0.9047,,331.4826
24,,24,0.9487,0.9600,0.9108,,340.2409
25,,25,0.9590,0.9531,0.9096,,348.3608
26,,26,0.9307,0.9707,0.9132,,356.4768
27,,27,0.9214,0.9766,0.9152,,364.5997
28,,28,0.9077,0.9834,0.9260,,372.7159
29,,29,0.9048,0.9873,0.9379,,379.6638
30,,30,0.8901,0.9902,0.9318,,385.7589
31,,31,0.8804,0.9980,0.9373,,391.8582
32,,32,0.8789,0.9980,0.9400,,397.9525
33,,33,0.8735,1.0000,0.9473,,404.0531
34,,34,0.8716,1.0000,0.9474,,410.1550
35,,35,0.8721,0.9990,0.9494,,416.2531
36,,36,0.8691,1.0000,0.9483,,422.3577
37,,eval,0.8691,1.0000,0.9483,0.9527,424.8195
