,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.3721,0.7383,0.6771,,10.4467
1,,1,1.2686,0.8066,0.8185,,19.8344
2,,2,1.1611,0.8633,0.8261,,28.6506
3,,3,1.1416,0.8711,0.8332,,37.1514
4,,4,1.1016,0.8770,0.8496,,45.4767
5,,5,1.1338,0.8516,0.8451,,53.9724
6,,6,1.1152,0.8730,0.8476,,62.4850
7,,7,1.0752,0.8984,0.8378,,71.0169
8,,8,1.1123,0.8740,0.8364,,79.5744
9,,9,1.0967,0.8779,0.8133,,88.1352
10,,10,1.0840,0.8975,0.8332,,96.6843
11,,11,1.0537,0.9102,0.8549,,105.2396
12,,12,1.0596,0.9014,0.8475,,113.8066
13,,13,1.0420,0.9189,0.8652,,121.3321
14,,14,1.0781,0.8809,0.8729,,128.3632
15,,15,1.0195,0.9189,0.8652,,135.3997
16,,16,1.0469,0.9053,0.8603,,142.4250
17,,17,1.0586,0.9033,0.8855,,149.4474
18,,18,1.0117,0.9307,0.8868,,156.0200
19,,19,0.9902,0.9365,0.8861,,161.6623
20,,20,1.0088,0.9287,0.8851,,167.3150
21,,21,0.9761,0.9512,0.9033,,173.0680
22,,22,1.0117,0.9199,0.8697,,177.3512
23,,23,0.9819,0.9385,0.8744,,181.5982
24,,24,0.9810,0.9414,0.9109,,185.8659
25,,25,0.9551,0.9619,0.9096,,190.1602
26,,26,0.9180,0.9795,0.9197,,194.4771
27,,27,0.9517,0.9570,0.9117,,198.7864
28,,28,0.9072,0.9795,0.9178,,203.1740
29,,29,0.9106,0.9873,0.9288,,206.1498
30,,30,0.8936,0.9883,0.9266,,208.9655
31,,31,0.8809,0.9971,0.9399,,211.7830
32,,32,0.8774,0.9980,0.9426,,214.5971
33,,33,0.8740,0.9990,0.9469,,217.4129
34,,34,0.8706,1.0000,0.9498,,220.2317
35,,35,0.8711,1.0000,0.9518,,223.0518
36,,36,0.8696,1.0000,0.9514,,225.8706
37,,eval,0.8696,1.0000,0.9514,0.9540,227.1226
