,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4521,0.6924,0.6720,,11.8428
1,,1,1.2314,0.8281,0.7634,,23.3356
2,,2,1.1709,0.8594,0.8055,,35.2217
3,,3,1.1367,0.8701,0.8346,,45.0778
4,,4,1.0947,0.8838,0.8165,,55.0949
5,,5,1.0840,0.8867,0.8476,,64.9236
6,,6,1.0996,0.8877,0.8489,,74.8761
7,,7,1.0986,0.8828,0.8277,,84.7650
8,,8,1.0752,0.8955,0.8571,,94.5712
9,,9,1.0889,0.8857,0.8459,,104.2692
10,,10,1.0752,0.8955,0.8551,,112.6724
11,,11,1.0625,0.9043,0.8583,,121.1767
12,,12,1.1025,0.8809,0.8448,,129.5388
13,,13,1.1094,0.8789,0.8655,,138.0748
14,,14,1.0645,0.8936,0.8725,,146.5553
15,,15,1.0293,0.9072,0.8807,,155.1032
16,,16,1.0342,0.9141,0.8657,,163.6068
17,,17,1.0195,0.9199,0.8817,,172.1291
18,,18,1.0068,0.9287,0.8718,,180.5948
19,,19,1.0049,0.9307,0.8955,,189.1806
20,,20,0.9995,0.9326,0.8808,,197.6841
21,,21,0.9746,0.9473,0.8970,,205.8039
22,,22,0.9785,0.9424,0.8549,,212.8497
23,,23,0.9668,0.9463,0.9056,,219.9325
24,,24,0.9746,0.9463,0.9063,,227.0312
25,,25,0.9551,0.9629,0.9014,,234.0778
26,,26,0.9390,0.9668,0.9154,,241.1784
27,,27,0.9292,0.9736,0.9140,,246.8446
28,,28,0.9126,0.9814,0.9171,,252.5204
29,,29,0.9102,0.9795,0.9369,,258.2041
30,,30,0.8906,0.9922,0.9251,,262.9436
31,,31,0.8818,0.9961,0.9388,,267.2007
32,,32,0.8770,0.9980,0.9400,,271.4780
33,,33,0.8716,1.0000,0.9447,,275.7407
34,,34,0.8726,0.9990,0.9474,,279.9907
35,,35,0.8706,1.0000,0.9478,,284.2681
36,,36,0.8696,1.0000,0.9479,,288.5340
37,,eval,0.8696,1.0000,0.9479,0.9539,290.1805
