,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4346,0.7119,0.6567,,10.6023
1,,1,1.2305,0.8223,0.7986,,21.0866
2,,2,1.1572,0.8574,0.8349,,31.5145
3,,3,1.1230,0.8652,0.8325,,41.6331
4,,4,1.1123,0.8779,0.8267,,50.8465
5,,5,1.1367,0.8633,0.8493,,59.5492
6,,6,1.1162,0.8730,0.8252,,68.0687
7,,7,1.0850,0.8926,0.8362,,76.7235
8,,8,1.0811,0.8887,0.8549,,85.2592
9,,9,1.0605,0.8984,0.8386,,93.8972
10,,10,1.1055,0.8711,0.7937,,102.3834
11,,11,1.0615,0.8936,0.8541,,111.0666
12,,12,1.0693,0.8887,0.8504,,119.6994
13,,13,1.0205,0.9229,0.8683,,126.9303
14,,14,1.0635,0.8975,0.8773,,134.1651
15,,15,1.0352,0.9131,0.8520,,141.4061
16,,16,1.0391,0.9170,0.8825,,148.6263
17,,17,1.0234,0.9238,0.8476,,155.3365
18,,18,1.0225,0.9229,0.8241,,161.1000
19,,19,1.0029,0.9287,0.9068,,166.9211
20,,20,1.0049,0.9287,0.8912,,172.7102
21,,21,0.9683,0.9492,0.9066,,178.5511
22,,22,0.9966,0.9326,0.8952,,184.3484
23,,23,0.9766,0.9443,0.9067,,190.1768
24,,24,0.9619,0.9551,0.9103,,196.0173
25,,25,0.9570,0.9590,0.9077,,201.9007
26,,26,0.9302,0.9785,0.9207,,206.6867
27,,27,0.9390,0.9688,0.8967,,211.0739
28,,28,0.9014,0.9844,0.9192,,215.4685
29,,29,0.9038,0.9863,0.9345,,219.9240
30,,30,0.8901,0.9951,0.9314,,224.3751
31,,31,0.8813,0.9941,0.9408,,228.7740
32,,32,0.8779,0.9990,0.9439,,233.1377
33,,33,0.8721,0.9990,0.9451,,237.5033
34,,34,0.8726,0.9990,0.9441,,241.8450
35,,35,0.8706,1.0000,0.9485,,246.2094
36,,36,0.8701,1.0000,0.9493,,250.6107
37,,eval,0.8701,1.0000,0.9493,0.9544,252.4887
