,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8179,0.7236,0.6023,,1.4936
1,,1,0.5669,0.8213,0.7336,,2.9797
2,,2,0.5513,0.8096,0.7403,,3.6664
3,,3,0.5435,0.8125,0.7711,,4.2987
4,,4,0.5249,0.8281,0.6602,,4.9267
5,,5,0.4321,0.8555,0.7700,,5.6165
6,,6,0.4253,0.8535,0.8436,,6.2751
7,,7,0.4165,0.8682,0.7895,,6.9320
8,,8,0.3518,0.8730,0.7287,,7.5855
9,,9,0.3267,0.8975,0.8594,,8.7218
10,,10,0.2737,0.9043,0.8153,,9.9710
11,,11,0.1953,0.9404,0.9000,,11.3174
12,,12,0.1975,0.9326,0.8988,,12.5673
13,,13,0.1143,0.9648,0.9258,,13.9131
14,,14,0.1013,0.9707,0.9318,,15.2091
15,,15,0.0461,0.9932,0.9336,,16.5507
16,,eval,0.0461,0.9932,0.9336,0.9411,17.0412
