,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.3916,0.7441,0.7280,,17.2523
1,,1,1.2178,0.8340,0.8137,,34.4958
2,,2,1.1543,0.8564,0.8350,,51.6614
3,,3,1.1357,0.8740,0.8140,,68.2447
4,,4,1.1123,0.8848,0.8607,,84.6145
5,,5,1.0938,0.8828,0.7919,,101.1496
6,,6,1.1006,0.8799,0.8129,,117.6323
7,,7,1.1055,0.8682,0.8486,,134.0423
8,,8,1.0752,0.8965,0.8511,,150.4580
9,,9,1.1006,0.8760,0.8415,,166.8534
10,,10,1.0898,0.8799,0.8604,,183.1491
11,,11,1.0605,0.8984,0.8665,,199.7821
12,,12,1.0762,0.8887,0.8393,,216.2127
13,,13,1.0596,0.8984,0.8723,,232.7353
14,,14,1.0469,0.9102,0.8543,,249.1276
15,,15,1.0430,0.9092,0.8575,,265.5253
16,,16,1.0312,0.9150,0.8812,,279.9656
17,,17,1.0195,0.9209,0.8740,,294.4007
18,,18,1.0430,0.9053,0.8733,,308.8164
19,,19,1.0225,0.9238,0.8819,,323.2313
20,,20,1.0078,0.9268,0.8767,,337.3909
21,,21,0.9731,0.9482,0.8704,,349.7478
22,,22,0.9834,0.9502,0.8691,,362.1390
23,,23,0.9692,0.9521,0.9065,,374.5747
24,,24,0.9795,0.9375,0.9113,,387.0125
25,,25,0.9595,0.9512,0.9025,,399.5050
26,,26,0.9189,0.9795,0.9128,,412.0131
27,,27,0.9521,0.9570,0.9077,,424.4858
28,,28,0.9102,0.9834,0.9222,,436.9144
29,,29,0.9165,0.9775,0.9315,,449.2936
30,,30,0.8921,0.9932,0.9254,,461.1701
31,,31,0.8770,0.9980,0.9416,,471.4487
32,,32,0.8799,0.9951,0.9374,,481.7051
33,,33,0.8745,0.9990,0.9437,,491.9606
34,,34,0.8721,0.9990,0.9463,,501.1757
35,,35,0.8706,1.0000,0.9461,,509.4253
36,,36,0.8696,1.0000,0.9491,,517.6760
37,,eval,0.8696,1.0000,0.9491,0.9532,520.8086
