,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4043,0.7373,0.6564,,13.2760
1,,1,1.2607,0.8115,0.7954,,26.0693
2,,2,1.1631,0.8564,0.8343,,38.4021
3,,3,1.1152,0.8809,0.8274,,51.1570
4,,4,1.1113,0.8750,0.8088,,63.4895
5,,5,1.1348,0.8643,0.7970,,76.2891
6,,6,1.0967,0.8857,0.8461,,88.1737
7,,7,1.0947,0.8867,0.8547,,100.8051
8,,8,1.0781,0.8916,0.8544,,113.1343
9,,9,1.1299,0.8535,0.8361,,125.7881
10,,10,1.0996,0.8740,0.8559,,137.9869
11,,11,1.0928,0.8779,0.8550,,150.2305
12,,12,1.0615,0.9023,0.8533,,162.8478
13,,13,1.0518,0.9131,0.8647,,175.4371
14,,14,1.0303,0.9131,0.8702,,187.8820
15,,15,1.0430,0.9033,0.8071,,198.7310
16,,16,1.0059,0.9326,0.8756,,209.8614
17,,17,1.0381,0.9189,0.8694,,220.8303
18,,18,0.9844,0.9473,0.8891,,232.0529
19,,19,1.0254,0.9150,0.8966,,243.1532
20,,20,0.9844,0.9395,0.8771,,254.5799
21,,21,0.9766,0.9492,0.8945,,265.4766
22,,22,0.9741,0.9424,0.8979,,276.9046
23,,23,0.9683,0.9404,0.9020,,288.0870
24,,24,0.9878,0.9453,0.9122,,299.5070
25,,25,0.9639,0.9570,0.9180,,310.7085
26,,26,0.9307,0.9688,0.9099,,322.0003
27,,27,0.9282,0.9736,0.9158,,333.2154
28,,28,0.9038,0.9854,0.9213,,344.4903
29,,29,0.9111,0.9805,0.9317,,355.9653
30,,30,0.8940,0.9922,0.9307,,366.8122
31,,31,0.8789,0.9971,0.9408,,376.8567
32,,32,0.8809,0.9980,0.9385,,386.7454
33,,33,0.8716,1.0000,0.9464,,396.8483
34,,34,0.8740,0.9980,0.9485,,406.7504
35,,35,0.8706,1.0000,0.9488,,416.8425
36,,36,0.8706,1.0000,0.9492,,426.9826
37,,eval,0.8706,1.0000,0.9492,0.9552,431.0268
