,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8198,0.7207,0.6747,,2.2848
1,,1,0.5454,0.8203,0.7576,,4.5624
2,,2,0.5015,0.8330,0.7710,,5.5010
3,,3,0.5483,0.8213,0.7379,,6.2103
4,,4,0.4749,0.8447,0.6973,,6.8897
5,,5,0.4263,0.8506,0.7608,,8.0230
6,,6,0.4102,0.8506,0.8145,,9.4607
7,,7,0.3865,0.8701,0.8391,,11.2810
8,,8,0.3457,0.8838,0.8455,,13.2524
9,,9,0.3796,0.8594,0.8146,,15.2245
10,,10,0.2620,0.9141,0.8838,,17.2159
11,,11,0.1908,0.9385,0.9033,,19.1776
12,,12,0.1569,0.9453,0.9022,,21.2103
13,,13,0.1163,0.9697,0.9108,,23.1578
14,,14,0.0834,0.9775,0.9337,,25.2261
15,,15,0.0517,0.9912,0.9391,,27.1751
16,,eval,0.0517,0.9912,0.9391,0.9457,28.0173
