,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.3965,0.7305,0.7263,,12.1352
1,,1,1.2109,0.8379,0.7891,,23.6491
2,,2,1.1475,0.8672,0.8322,,35.5643
3,,3,1.1387,0.8652,0.8078,,46.7950
4,,4,1.1338,0.8652,0.8541,,58.1156
5,,5,1.1035,0.8877,0.8179,,69.5521
6,,6,1.1113,0.8730,0.8366,,80.7723
7,,7,1.0986,0.8750,0.8562,,91.6457
8,,8,1.0938,0.8818,0.8466,,102.4395
9,,9,1.0957,0.8828,0.8326,,112.3789
10,,10,1.0889,0.8789,0.8405,,122.0901
11,,11,1.0723,0.8916,0.8559,,132.1487
12,,12,1.0762,0.8945,0.8303,,141.4142
13,,13,1.0566,0.9111,0.8497,,151.1489
14,,14,1.0469,0.9131,0.8602,,161.3205
15,,15,1.0459,0.9092,0.8642,,171.0805
16,,16,1.0479,0.9053,0.8337,,181.2075
17,,17,1.0234,0.9219,0.8932,,191.1042
18,,18,1.0342,0.9102,0.8833,,200.3859
19,,19,1.0078,0.9316,0.9013,,210.4549
20,,20,1.0146,0.9229,0.8911,,220.4419
21,,21,0.9751,0.9453,0.8839,,230.5018
22,,22,0.9731,0.9482,0.8930,,240.2153
23,,23,0.9609,0.9541,0.9056,,250.3347
24,,24,0.9785,0.9502,0.9117,,260.2847
25,,25,0.9609,0.9521,0.8991,,270.3481
26,,26,0.9180,0.9756,0.9175,,280.3535
27,,27,0.9316,0.9707,0.9126,,290.3831
28,,28,0.9043,0.9902,0.9193,,300.4051
29,,29,0.9043,0.9844,0.9361,,310.4195
30,,30,0.8872,0.9941,0.9339,,320.4182
31,,31,0.8774,0.9980,0.9439,,330.4784
32,,32,0.8774,0.9971,0.9380,,340.4130
33,,33,0.8740,1.0000,0.9474,,350.4777
34,,34,0.8730,0.9980,0.9489,,360.6627
35,,35,0.8701,1.0000,0.9485,,370.8363
36,,36,0.8701,1.0000,0.9493,,381.0851
37,,eval,0.8701,1.0000,0.9493,0.9550,385.2317
