,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4131,0.7441,0.6674,,13.0902
1,,1,1.2598,0.8076,0.8046,,26.2637
2,,2,1.1650,0.8486,0.8332,,39.2007
3,,3,1.1094,0.8867,0.8316,,50.0645
4,,4,1.1152,0.8809,0.8337,,60.9120
5,,5,1.0996,0.8867,0.8276,,71.9523
6,,6,1.0996,0.8867,0.8139,,83.1609
7,,7,1.1094,0.8691,0.8090,,94.3628
8,,8,1.1133,0.8711,0.8365,,105.6551
9,,9,1.1309,0.8604,0.8372,,116.7161
10,,10,1.1182,0.8623,0.8068,,128.0989
11,,11,1.0967,0.8760,0.8247,,139.1255
12,,12,1.0605,0.8936,0.8751,,150.5840
13,,13,1.0703,0.8965,0.8732,,161.5541
14,,14,1.0273,0.9189,0.8818,,172.8629
15,,15,1.0410,0.9141,0.8774,,183.7430
16,,16,1.0225,0.9170,0.8528,,195.1846
17,,17,1.0127,0.9297,0.8716,,206.3563
18,,18,1.0000,0.9307,0.8882,,217.5384
19,,19,1.0186,0.9238,0.8916,,227.5469
20,,20,0.9932,0.9297,0.8610,,237.3368
21,,21,0.9761,0.9404,0.8946,,247.3678
22,,22,0.9673,0.9482,0.9023,,257.1661
23,,23,0.9624,0.9521,0.9056,,267.2576
24,,24,0.9937,0.9365,0.9150,,277.0557
25,,25,0.9727,0.9443,0.9036,,286.4070
26,,26,0.9302,0.9727,0.9057,,294.8915
27,,27,0.9370,0.9717,0.9138,,303.4071
28,,28,0.9062,0.9805,0.9246,,311.8228
29,,29,0.9009,0.9883,0.9389,,320.3666
30,,30,0.8901,0.9922,0.9328,,328.8688
31,,31,0.8765,0.9990,0.9400,,337.4167
32,,32,0.8799,0.9971,0.9416,,346.0068
33,,33,0.8726,0.9990,0.9479,,354.5766
34,,34,0.8721,1.0000,0.9504,,363.2017
35,,35,0.8696,1.0000,0.9498,,371.7273
36,,36,0.8701,1.0000,0.9511,,380.3295
37,,eval,0.8701,1.0000,0.9511,0.9547,383.8407
