,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.3809,0.7422,0.7240,,1.9517
1,,1,1.2129,0.8438,0.8087,,3.8989
2,,2,1.1484,0.8701,0.8280,,5.8451
3,,3,1.1377,0.8662,0.8217,,7.7035
4,,4,1.1221,0.8740,0.8214,,9.5609
5,,5,1.1172,0.8750,0.8127,,11.4201
6,,6,1.1143,0.8779,0.8235,,13.2786
7,,7,1.1045,0.8721,0.8622,,15.1382
8,,8,1.0781,0.8896,0.8366,,16.9975
9,,9,1.0957,0.8848,0.7998,,18.8579
10,,10,1.0811,0.8867,0.8545,,20.7166
11,,11,1.0781,0.8848,0.8647,,22.5781
12,,12,1.0801,0.8867,0.8676,,24.4383
13,,13,1.0635,0.9053,0.8576,,26.2999
14,,14,1.0703,0.8896,0.8542,,28.1590
15,,15,1.0400,0.9092,0.8721,,30.0193
16,,16,1.0518,0.9014,0.8644,,31.8800
17,,17,1.0293,0.9189,0.8838,,33.7409
18,,18,1.0186,0.9258,0.8559,,35.6005
19,,19,1.0107,0.9229,0.8901,,37.4626
20,,20,1.0117,0.9229,0.8905,,39.3233
21,,21,0.9663,0.9541,0.8994,,41.1848
22,,22,0.9688,0.9414,0.9017,,43.0451
23,,23,0.9741,0.9521,0.8983,,44.9080
24,,24,0.9751,0.9492,0.9131,,46.7699
25,,25,0.9424,0.9639,0.9035,,48.6320
26,,26,0.9185,0.9795,0.9177,,50.4931
27,,27,0.9272,0.9736,0.9165,,52.3561
28,,28,0.9038,0.9834,0.9214,,54.2174
29,,29,0.9155,0.9814,0.9351,,56.0804
30,,30,0.8877,0.9951,0.9318,,57.9433
31,,31,0.8779,0.9980,0.9417,,59.8072
32,,32,0.8770,0.9971,0.9445,,61.6695
33,,33,0.8750,0.9990,0.9458,,63.5335
34,,34,0.8721,0.9990,0.9477,,65.3978
35,,35,0.8711,0.9990,0.9493,,67.2650
36,,36,0.8696,1.0000,0.9498,,69.1318
37,,eval,0.8696,1.0000,0.9498,0.9541,69.8913
