,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8047,0.7256,0.5947,,0.9836
1,,1,0.5688,0.8125,0.7633,,2.1882
2,,2,0.4705,0.8438,0.7712,,3.1551
3,,3,0.5244,0.8242,0.6567,,3.8061
4,,4,0.4819,0.8369,0.7152,,4.2532
5,,5,0.4333,0.8535,0.7542,,5.0552
6,,6,0.4197,0.8535,0.7655,,5.9507
7,,7,0.3713,0.8682,0.7811,,6.7923
8,,8,0.3438,0.8828,0.8201,,7.6429
9,,9,0.3215,0.8916,0.8278,,8.5308
10,,10,0.2646,0.9102,0.8525,,9.6526
11,,11,0.1810,0.9434,0.8933,,10.9784
12,,12,0.1831,0.9463,0.8973,,12.2184
13,,13,0.1178,0.9658,0.9176,,13.4724
14,,14,0.0888,0.9736,0.9337,,14.7898
15,,15,0.0506,0.9922,0.9346,,16.0485
16,,eval,0.0506,0.9922,0.9346,0.9459,16.4910
