,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8120,0.7178,0.7214,,2.4178
1,,1,0.6802,0.7715,0.7024,,4.2983
2,,2,0.5176,0.8252,0.7843,,5.0930
3,,3,0.5688,0.8096,0.5461,,5.8667
4,,4,0.4753,0.8486,0.5221,,7.3229
5,,5,0.4404,0.8545,0.7862,,8.7843
6,,6,0.4431,0.8428,0.7932,,10.1420
7,,7,0.3604,0.8887,0.8415,,11.6094
8,,8,0.3044,0.8936,0.7802,,12.9578
9,,9,0.3118,0.8945,0.8705,,14.4303
10,,10,0.2498,0.9189,0.8288,,15.7814
11,,11,0.2136,0.9316,0.8962,,17.2529
12,,12,0.1576,0.9443,0.8880,,18.6136
13,,13,0.1287,0.9609,0.9184,,20.0892
14,,14,0.0902,0.9707,0.9336,,21.5526
15,,15,0.0520,0.9932,0.9340,,22.8956
16,,eval,0.0520,0.9932,0.9340,0.9448,23.5273
