,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4346,0.7119,0.6642,,10.3227
1,,1,1.2256,0.8301,0.8056,,20.1891
2,,2,1.1523,0.8643,0.8281,,30.4252
3,,3,1.1338,0.8633,0.8430,,40.0208
4,,4,1.1016,0.8887,0.8162,,49.1164
5,,5,1.1230,0.8701,0.8333,,58.7335
6,,6,1.1025,0.8809,0.8026,,68.5838
7,,7,1.1084,0.8809,0.8450,,78.1399
8,,8,1.0957,0.8711,0.8369,,87.8384
9,,9,1.0537,0.9072,0.8229,,97.6220
10,,10,1.0859,0.8809,0.8495,,107.4695
11,,11,1.0859,0.8857,0.8209,,117.2211
12,,12,1.0693,0.8906,0.8288,,126.9710
13,,13,1.0146,0.9287,0.8535,,136.7038
14,,14,1.0693,0.9043,0.8786,,146.4582
15,,15,1.0381,0.9102,0.8606,,156.2166
16,,16,1.0498,0.9062,0.8760,,165.9726
17,,17,1.0283,0.9170,0.8781,,175.7482
18,,18,1.0605,0.9062,0.8534,,185.5802
19,,19,1.0039,0.9219,0.8905,,195.2120
20,,20,1.0068,0.9336,0.8809,,204.9880
21,,21,0.9736,0.9473,0.9056,,214.7797
22,,22,1.0039,0.9307,0.8811,,224.5654
23,,23,0.9790,0.9434,0.9041,,234.4804
24,,24,0.9644,0.9502,0.9116,,242.9789
25,,25,0.9478,0.9658,0.9083,,251.3489
26,,26,0.9243,0.9736,0.9229,,259.8173
27,,27,0.9312,0.9795,0.9115,,268.1758
28,,28,0.9038,0.9854,0.9182,,276.6301
29,,29,0.9043,0.9844,0.9307,,285.1072
30,,30,0.8931,0.9912,0.9245,,293.4180
31,,31,0.8799,0.9971,0.9404,,301.8983
32,,32,0.8779,0.9980,0.9395,,309.7653
33,,33,0.8730,0.9990,0.9477,,316.8495
34,,34,0.8726,1.0000,0.9470,,323.9178
35,,35,0.8711,1.0000,0.9472,,330.9995
36,,36,0.8696,1.0000,0.9480,,338.0758
37,,eval,0.8696,1.0000,0.9480,0.9545,340.9032
