,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4434,0.6973,0.6982,,17.6854
1,,1,1.2197,0.8281,0.7959,,35.1380
2,,2,1.1650,0.8672,0.7990,,52.5680
3,,3,1.1279,0.8730,0.8495,,69.1780
4,,4,1.1074,0.8760,0.8484,,85.7048
5,,5,1.0947,0.8838,0.8216,,102.4562
6,,6,1.0957,0.8828,0.8283,,118.9059
7,,7,1.1025,0.8789,0.8316,,135.6505
8,,8,1.0820,0.8965,0.8323,,152.3322
9,,9,1.0713,0.8896,0.8424,,169.0746
10,,10,1.0879,0.8828,0.8338,,185.8155
11,,11,1.0732,0.8896,0.8618,,201.3458
12,,12,1.0977,0.8760,0.8461,,216.0097
13,,13,1.0928,0.8828,0.8711,,230.6292
14,,14,1.0576,0.9053,0.8485,,245.2715
15,,15,1.0352,0.9102,0.8697,,260.0078
16,,16,1.0303,0.9219,0.8704,,273.1040
17,,17,1.0107,0.9277,0.8631,,285.6160
18,,18,1.0039,0.9287,0.8723,,298.1549
19,,19,0.9966,0.9346,0.8928,,310.6709
20,,20,1.0195,0.9160,0.8885,,323.1868
21,,21,0.9751,0.9521,0.9033,,335.7209
22,,22,0.9912,0.9326,0.8725,,348.2624
23,,23,0.9658,0.9561,0.9030,,360.7783
24,,24,0.9692,0.9512,0.8988,,373.3163
25,,25,0.9604,0.9570,0.9116,,385.9460
26,,26,0.9331,0.9707,0.9125,,396.4140
27,,27,0.9224,0.9717,0.9078,,406.8346
28,,28,0.9097,0.9824,0.9194,,417.2325
29,,29,0.9189,0.9746,0.9365,,427.2633
30,,30,0.8896,0.9922,0.9303,,435.6244
31,,31,0.8813,0.9961,0.9397,,443.9838
32,,32,0.8794,0.9961,0.9375,,451.6972
33,,33,0.8721,0.9990,0.9475,,457.9938
34,,34,0.8730,0.9990,0.9507,,464.2779
35,,35,0.8701,1.0000,0.9500,,470.5704
36,,36,0.8701,1.0000,0.9500,,476.8629
37,,eval,0.8701,1.0000,0.9500,0.9545,479.3755
