,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8179,0.7236,0.6023,,2.3234
1,,1,0.5669,0.8213,0.7336,,3.5247
2,,2,0.5513,0.8096,0.7403,,4.2593
3,,3,0.5435,0.8125,0.7711,,4.9776
4,,4,0.5249,0.8281,0.6602,,6.0099
5,,5,0.4321,0.8555,0.7700,,7.5018
6,,6,0.4253,0.8535,0.8436,,9.2125
7,,7,0.4165,0.8682,0.7895,,11.2141
8,,8,0.3518,0.8730,0.7287,,13.2227
9,,9,0.3267,0.8975,0.8594,,15.2986
10,,10,0.2737,0.9043,0.8153,,17.3028
11,,11,0.1953,0.9404,0.9000,,19.3910
12,,12,0.1975,0.9326,0.8988,,21.3955
13,,13,0.1143,0.9648,0.9258,,23.5029
14,,14,0.1013,0.9707,0.9318,,25.5104
15,,15,0.0461,0.9932,0.9336,,27.7161
16,,eval,0.0461,0.9932,0.9336,0.9411,28.2704
