,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.7944,0.7109,0.6753,,0.8856
1,,1,0.5986,0.7998,0.7249,,1.8949
2,,2,0.5791,0.8096,0.6543,,2.7640
3,,3,0.4998,0.8320,0.8049,,3.6860
4,,4,0.4314,0.8438,0.7749,,4.8205
5,,5,0.4207,0.8594,0.8008,,6.0860
6,,6,0.4348,0.8652,0.7163,,7.3687
7,,7,0.3533,0.8887,0.8322,,8.2750
8,,8,0.3169,0.8926,0.8431,,9.1478
9,,9,0.3396,0.8857,0.8890,,10.0523
10,,10,0.2529,0.9180,0.8949,,11.3914
11,,11,0.2050,0.9326,0.8774,,12.6635
12,,12,0.1896,0.9404,0.9017,,13.8715
13,,13,0.1375,0.9600,0.9116,,15.2109
14,,14,0.0886,0.9756,0.9303,,16.4085
15,,15,0.0622,0.9844,0.9357,,17.7196
16,,eval,0.0622,0.9844,0.9357,0.9458,18.2746
