,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8389,0.6973,0.7076,,0.5093
1,,1,0.6621,0.7695,0.7150,,0.9819
2,,2,0.5254,0.8359,0.7664,,1.4407
3,,3,0.5127,0.8232,0.6713,,2.0125
4,,4,0.4460,0.8604,0.7458,,2.9284
5,,5,0.4514,0.8535,0.8060,,3.7454
6,,6,0.4402,0.8457,0.8174,,4.9285
7,,7,0.3599,0.8789,0.8016,,5.8257
8,,8,0.3198,0.8945,0.8133,,6.6647
9,,9,0.3044,0.8975,0.8780,,7.6435
10,,10,0.2783,0.9072,0.8575,,8.8598
11,,11,0.2111,0.9238,0.8919,,10.1672
12,,12,0.1615,0.9512,0.8882,,11.3978
13,,13,0.1213,0.9629,0.9189,,12.6981
14,,14,0.0771,0.9854,0.9314,,14.1483
15,,15,0.0517,0.9902,0.9352,,15.3180
16,,eval,0.0517,0.9902,0.9352,0.9432,15.6036
