,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8086,0.7109,0.6945,,1.4942
1,,1,0.5454,0.8125,0.7827,,2.9893
2,,2,0.5405,0.8252,0.6524,,4.4676
3,,3,0.5635,0.8213,0.6046,,5.8198
4,,4,0.4902,0.8438,0.7452,,7.1646
5,,5,0.4241,0.8574,0.7953,,8.5370
6,,6,0.3872,0.8662,0.7565,,9.8363
7,,7,0.3750,0.8838,0.8240,,11.2205
8,,8,0.3374,0.8926,0.8204,,12.4921
9,,9,0.3730,0.8750,0.8832,,13.8745
10,,10,0.2710,0.9160,0.8843,,14.9850
11,,11,0.1992,0.9355,0.9056,,15.6305
12,,12,0.1736,0.9443,0.8805,,16.2697
13,,13,0.1255,0.9697,0.9116,,16.9160
14,,14,0.0768,0.9834,0.9336,,17.6184
15,,15,0.0460,0.9941,0.9348,,18.2579
16,,eval,0.0460,0.9941,0.9348,0.9417,18.5297
