,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8335,0.7148,0.6396,,0.4413
1,,1,0.6479,0.7969,0.7824,,0.8767
2,,2,0.5562,0.8174,0.6406,,1.3110
3,,3,0.4807,0.8350,0.7908,,1.7137
4,,4,0.4761,0.8359,0.8190,,2.1160
5,,5,0.4243,0.8574,0.7595,,2.5188
6,,6,0.3794,0.8779,0.7416,,2.9211
7,,7,0.4224,0.8584,0.8090,,3.3240
8,,8,0.3267,0.8906,0.8401,,3.7264
9,,9,0.2964,0.9023,0.8586,,4.1293
10,,10,0.2537,0.9131,0.8125,,4.5316
11,,11,0.1986,0.9424,0.8971,,4.9343
12,,12,0.1934,0.9316,0.8866,,5.3369
13,,13,0.1041,0.9668,0.9193,,5.7397
14,,14,0.0938,0.9736,0.9332,,6.1419
15,,15,0.0531,0.9883,0.9358,,6.5447
16,,eval,0.0531,0.9883,0.9358,0.9455,6.7205
