,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8101,0.7100,0.6629,,2.2885
1,,1,0.5723,0.8086,0.7019,,5.1712
2,,2,0.6299,0.7832,0.6175,,8.0895
3,,3,0.5083,0.8301,0.6779,,10.6865
4,,4,0.4927,0.8408,0.6900,,13.3653
5,,5,0.4194,0.8535,0.8119,,15.9407
6,,6,0.3755,0.8789,0.8349,,18.5312
7,,7,0.3477,0.8887,0.8207,,20.4845
8,,8,0.3083,0.8936,0.8553,,23.2505
9,,9,0.3455,0.8877,0.8498,,25.2311
10,,10,0.2727,0.9053,0.8724,,27.3599
11,,11,0.2013,0.9355,0.8958,,29.5450
12,,12,0.1942,0.9316,0.8905,,31.8590
13,,13,0.1130,0.9697,0.9219,,34.0942
14,,14,0.0797,0.9805,0.9331,,36.7971
15,,15,0.0672,0.9844,0.9356,,39.4598
16,,eval,0.0672,0.9844,0.9356,0.9444,40.4903
