,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4131,0.7441,0.6674,,8.7362
1,,1,1.2598,0.8076,0.8046,,17.3615
2,,2,1.1650,0.8486,0.8332,,25.9983
3,,3,1.1094,0.8867,0.8316,,34.3415
4,,4,1.1152,0.8809,0.8337,,42.6831
5,,5,1.0996,0.8867,0.8276,,50.9835
6,,6,1.0996,0.8867,0.8139,,59.3280
7,,7,1.1094,0.8691,0.8090,,67.6465
8,,8,1.1133,0.8711,0.8365,,76.0602
9,,9,1.1309,0.8604,0.8372,,83.0289
10,,10,1.1182,0.8623,0.8068,,89.8974
11,,11,1.0967,0.8760,0.8247,,96.7817
12,,12,1.0605,0.8936,0.8751,,103.6631
13,,13,1.0703,0.8965,0.8732,,110.5548
14,,14,1.0273,0.9189,0.8818,,116.8502
15,,15,1.0410,0.9141,0.8774,,122.4393
16,,16,1.0225,0.9170,0.8528,,128.0695
17,,17,1.0127,0.9297,0.8716,,133.7785
18,,18,1.0000,0.9307,0.8882,,137.9941
19,,19,1.0186,0.9238,0.8916,,142.1752
20,,20,0.9932,0.9297,0.8610,,146.3405
21,,21,0.9761,0.9404,0.8946,,150.5060
22,,22,0.9673,0.9482,0.9023,,154.6750
23,,23,0.9624,0.9521,0.9056,,158.8375
24,,24,0.9937,0.9365,0.9150,,163.1051
25,,25,0.9727,0.9443,0.9036,,166.2400
26,,26,0.9302,0.9727,0.9057,,168.9999
27,,27,0.9370,0.9717,0.9138,,171.7602
28,,28,0.9062,0.9805,0.9246,,174.5200
29,,29,0.9009,0.9883,0.9389,,177.2782
30,,30,0.8901,0.9922,0.9328,,180.0354
31,,31,0.8765,0.9990,0.9400,,182.7909
32,,32,0.8799,0.9971,0.9416,,185.5493
33,,33,0.8726,0.9990,0.9479,,188.0040
34,,34,0.8721,1.0000,0.9504,,189.2459
35,,35,0.8696,1.0000,0.9498,,190.4856
36,,36,0.8701,1.0000,0.9511,,191.7247
37,,eval,0.8701,1.0000,0.9511,0.9547,192.2405
