,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4600,0.6963,0.7138,,3.0147
1,,1,1.2266,0.8428,0.7950,,5.8755
2,,2,1.1729,0.8604,0.8348,,8.7719
3,,3,1.1123,0.8877,0.8270,,11.6409
4,,4,1.1123,0.8867,0.8086,,14.3774
5,,5,1.1191,0.8682,0.8263,,17.2256
6,,6,1.1035,0.8711,0.8143,,19.9928
7,,7,1.0840,0.8906,0.7961,,22.8510
8,,8,1.1104,0.8750,0.8489,,25.6039
9,,9,1.0938,0.8848,0.8457,,28.4310
10,,10,1.0654,0.8955,0.8438,,30.3021
11,,11,1.0898,0.8770,0.8440,,31.5640
12,,12,1.0635,0.9004,0.8536,,33.5048
13,,13,1.0371,0.9277,0.8447,,36.3156
14,,14,1.0439,0.9082,0.8754,,39.1746
15,,15,1.0430,0.9062,0.8370,,41.9173
16,,16,1.0527,0.9062,0.8661,,44.7724
17,,17,1.0176,0.9229,0.8928,,47.5107
18,,18,1.0166,0.9229,0.8818,,50.3602
19,,19,1.0039,0.9297,0.8849,,53.1163
20,,20,1.0098,0.9277,0.8647,,55.9824
21,,21,1.0010,0.9297,0.8877,,58.7727
22,,22,0.9902,0.9395,0.8847,,61.5523
23,,23,0.9736,0.9551,0.8950,,64.3939
24,,24,0.9673,0.9463,0.9115,,67.1194
25,,25,0.9585,0.9531,0.8968,,69.9806
26,,26,0.9380,0.9619,0.9150,,72.7280
27,,27,0.9229,0.9775,0.9136,,75.5779
28,,28,0.9180,0.9805,0.9214,,78.3380
29,,29,0.9106,0.9844,0.9345,,81.1690
30,,30,0.8901,0.9922,0.9329,,84.0215
31,,31,0.8809,0.9951,0.9407,,86.7639
32,,32,0.8765,0.9980,0.9425,,89.6275
33,,33,0.8730,0.9990,0.9464,,92.3588
34,,34,0.8711,1.0000,0.9496,,95.2114
35,,35,0.8716,0.9990,0.9506,,97.9591
36,,36,0.8696,1.0000,0.9521,,100.7160
37,,eval,0.8696,1.0000,0.9521,0.9556,101.8871
