,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4131,0.7441,0.6674,,12.3449
1,,1,1.2598,0.8076,0.8046,,25.1657
2,,2,1.1650,0.8486,0.8332,,37.7371
3,,3,1.1094,0.8867,0.8316,,49.4088
4,,4,1.1152,0.8809,0.8337,,61.5791
5,,5,1.0996,0.8867,0.8276,,73.6762
6,,6,1.0996,0.8867,0.8139,,86.0611
7,,7,1.1094,0.8691,0.8090,,97.5125
8,,8,1.1133,0.8711,0.8365,,109.0983
9,,9,1.1309,0.8604,0.8372,,121.3108
10,,10,1.1182,0.8623,0.8068,,133.4114
11,,11,1.0967,0.8760,0.8247,,145.6231
12,,12,1.0605,0.8936,0.8751,,157.5976
13,,13,1.0703,0.8965,0.8732,,169.4163
14,,14,1.0273,0.9189,0.8818,,181.4272
15,,15,1.0410,0.9141,0.8774,,193.3318
16,,16,1.0225,0.9170,0.8528,,205.2495
17,,17,1.0127,0.9297,0.8716,,217.6818
18,,18,1.0000,0.9307,0.8882,,229.5075
19,,19,1.0186,0.9238,0.8916,,241.5754
20,,20,0.9932,0.9297,0.8610,,253.4216
21,,21,0.9761,0.9404,0.8946,,266.0448
22,,22,0.9673,0.9482,0.9023,,277.8788
23,,23,0.9624,0.9521,0.9056,,290.3286
24,,24,0.9937,0.9365,0.9150,,302.0237
25,,25,0.9727,0.9443,0.9036,,314.1703
26,,26,0.9302,0.9727,0.9057,,326.5315
27,,27,0.9370,0.9717,0.9138,,338.7401
28,,28,0.9062,0.9805,0.9246,,350.3461
29,,29,0.9009,0.9883,0.9389,,362.5384
30,,30,0.8901,0.9922,0.9328,,374.8652
31,,31,0.8765,0.9990,0.9400,,387.0369
32,,32,0.8799,0.9971,0.9416,,399.4391
33,,33,0.8726,0.9990,0.9479,,410.9837
34,,34,0.8721,1.0000,0.9504,,423.1168
35,,35,0.8696,1.0000,0.9498,,435.2721
36,,36,0.8701,1.0000,0.9511,,447.6542
37,,eval,0.8701,1.0000,0.9511,0.9547,452.4228
