,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4170,0.7197,0.6536,,17.5019
1,,1,1.2500,0.8135,0.8136,,34.7426
2,,2,1.1748,0.8535,0.8079,,52.0973
3,,3,1.1797,0.8457,0.8285,,68.7074
4,,4,1.1143,0.8672,0.8401,,85.0206
5,,5,1.1064,0.8799,0.8061,,99.5769
6,,6,1.1084,0.8740,0.8326,,114.0930
7,,7,1.1221,0.8672,0.8269,,128.5970
8,,8,1.0801,0.8955,0.8477,,143.0790
9,,9,1.0684,0.9014,0.8061,,157.0829
10,,10,1.0928,0.8867,0.8729,,169.4657
11,,11,1.0752,0.8906,0.8619,,181.8697
12,,12,1.0576,0.9082,0.8492,,194.2546
13,,13,1.0586,0.8955,0.8316,,206.6321
14,,14,1.0635,0.8994,0.8544,,218.9983
15,,15,1.0537,0.9062,0.8699,,231.3933
16,,16,1.0254,0.9229,0.8639,,243.7722
17,,17,1.0283,0.9150,0.8483,,256.1698
18,,18,1.0547,0.8994,0.8762,,268.6231
19,,19,1.0166,0.9268,0.8819,,280.3173
20,,20,0.9707,0.9424,0.8630,,290.7235
21,,21,0.9751,0.9395,0.9010,,301.1203
22,,22,0.9878,0.9365,0.8979,,311.5360
23,,23,0.9453,0.9619,0.9083,,320.4576
24,,24,0.9678,0.9502,0.9060,,328.7245
25,,25,0.9761,0.9404,0.9094,,337.1210
26,,26,0.9331,0.9697,0.9155,,343.7995
27,,27,0.9331,0.9648,0.9123,,350.0124
28,,28,0.9170,0.9766,0.9166,,356.2170
29,,29,0.9106,0.9814,0.9354,,362.4275
30,,30,0.8984,0.9912,0.9346,,368.7691
31,,31,0.8853,0.9912,0.9378,,372.9086
32,,32,0.8770,0.9990,0.9421,,377.0288
33,,33,0.8745,1.0000,0.9456,,381.1386
34,,34,0.8716,1.0000,0.9472,,385.2435
35,,35,0.8735,0.9971,0.9465,,389.3481
36,,36,0.8691,1.0000,0.9488,,393.4544
37,,eval,0.8691,1.0000,0.9488,0.9553,395.1570
