,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8218,0.7031,0.6005,,0.4493
1,,1,0.5571,0.8135,0.7175,,0.8927
2,,2,0.5576,0.7979,0.7130,,1.3534
3,,3,0.4934,0.8271,0.6941,,1.8150
4,,4,0.4861,0.8340,0.7768,,2.2550
5,,5,0.3918,0.8633,0.8032,,2.6857
6,,6,0.3872,0.8672,0.7662,,3.1100
7,,7,0.3716,0.8682,0.7853,,3.5429
8,,8,0.3184,0.8936,0.8374,,3.9739
9,,9,0.3020,0.9004,0.7363,,4.4044
10,,10,0.2795,0.9092,0.8496,,4.8598
11,,11,0.2152,0.9355,0.9007,,5.2702
12,,12,0.1942,0.9395,0.9026,,5.6798
13,,13,0.1196,0.9629,0.9159,,6.0901
14,,14,0.0743,0.9844,0.9349,,6.5096
15,,15,0.0522,0.9883,0.9355,,6.9253
16,,eval,0.0522,0.9883,0.9355,0.9435,7.1024
