,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8335,0.7070,0.6088,,0.4768
1,,1,0.5444,0.8174,0.7164,,0.9260
2,,2,0.5732,0.8027,0.7380,,1.3758
3,,3,0.5366,0.8359,0.7328,,1.7935
4,,4,0.4932,0.8184,0.7211,,2.2990
5,,5,0.3840,0.8672,0.7825,,2.7131
6,,6,0.3838,0.8789,0.8318,,3.1274
7,,7,0.3577,0.8789,0.8015,,3.5438
8,,8,0.3408,0.8818,0.7904,,3.9898
9,,9,0.3047,0.9023,0.7902,,4.4085
10,,10,0.2554,0.9121,0.8729,,5.2168
11,,11,0.1907,0.9414,0.8885,,6.0741
12,,12,0.1799,0.9424,0.9011,,6.9937
13,,13,0.1222,0.9648,0.9124,,8.0895
14,,14,0.0830,0.9785,0.9325,,9.0281
15,,15,0.0532,0.9873,0.9368,,9.9821
16,,eval,0.0532,0.9873,0.9368,0.9446,10.2982
