,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4482,0.6953,0.6912,,17.4324
1,,1,1.2197,0.8320,0.7719,,34.8521
2,,2,1.1689,0.8623,0.8305,,52.2203
3,,3,1.1348,0.8760,0.8520,,68.5571
4,,4,1.0957,0.8867,0.8487,,85.1213
5,,5,1.0742,0.8877,0.8415,,101.5685
6,,6,1.0820,0.8848,0.8476,,118.2528
7,,7,1.1133,0.8740,0.8185,,134.8700
8,,8,1.0674,0.9043,0.8636,,151.5439
9,,9,1.0840,0.8867,0.8409,,168.0541
10,,10,1.0850,0.8799,0.7991,,184.8814
11,,11,1.0625,0.9043,0.8514,,201.2698
12,,12,1.0977,0.8818,0.8448,,217.9885
13,,13,1.0967,0.8779,0.8157,,234.6293
14,,14,1.0664,0.8965,0.8582,,251.2432
15,,15,1.0332,0.9111,0.8814,,267.9486
16,,16,1.0586,0.8994,0.8667,,284.6705
17,,17,1.0127,0.9336,0.8687,,301.2095
18,,18,1.0029,0.9336,0.8788,,318.1525
19,,19,1.0088,0.9248,0.8950,,335.0736
20,,20,1.0029,0.9307,0.8916,,351.9559
21,,21,0.9751,0.9473,0.8900,,368.7527
22,,22,0.9907,0.9365,0.8686,,385.2374
23,,23,0.9741,0.9424,0.8824,,399.9531
24,,24,0.9575,0.9609,0.9185,,414.6857
25,,25,0.9712,0.9482,0.9068,,429.4405
26,,26,0.9487,0.9590,0.9176,,444.1901
27,,27,0.9233,0.9756,0.9135,,458.1778
28,,28,0.9121,0.9844,0.9202,,470.8096
29,,29,0.9043,0.9814,0.9307,,483.4060
30,,30,0.8955,0.9873,0.9297,,495.9479
31,,31,0.8838,0.9941,0.9378,,508.4737
32,,32,0.8784,0.9961,0.9401,,521.0150
33,,33,0.8706,1.0000,0.9461,,533.5883
34,,34,0.8735,1.0000,0.9482,,546.1160
35,,35,0.8701,1.0000,0.9490,,558.6545
36,,36,0.8716,0.9990,0.9488,,571.2033
37,,eval,0.8716,0.9990,0.9488,0.9546,576.1475
