,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4346,0.7021,0.6507,,2.0328
1,,1,1.2520,0.8271,0.7880,,3.3233
2,,2,1.1621,0.8662,0.8251,,4.6101
3,,3,1.1299,0.8672,0.7568,,5.8530
4,,4,1.1162,0.8711,0.8166,,7.0951
5,,5,1.0889,0.8857,0.8408,,8.3376
6,,6,1.1230,0.8701,0.8289,,9.5800
7,,7,1.0850,0.8896,0.8279,,10.8230
8,,8,1.0928,0.8877,0.8059,,12.0654
9,,9,1.1006,0.8857,0.7831,,13.3083
10,,10,1.0801,0.8857,0.8212,,14.5508
11,,11,1.0947,0.8828,0.8600,,15.7940
12,,12,1.0664,0.8887,0.8703,,17.0362
13,,13,1.0664,0.9033,0.8455,,18.2793
14,,14,1.0547,0.9014,0.8558,,19.5224
15,,15,1.0352,0.9082,0.8465,,20.7658
16,,16,1.0312,0.9189,0.8665,,22.0087
17,,17,1.0254,0.9121,0.8854,,23.2520
18,,18,1.0264,0.9189,0.8872,,24.4949
19,,19,1.0107,0.9316,0.8857,,25.7383
20,,20,1.0039,0.9268,0.8883,,26.9809
21,,21,0.9897,0.9414,0.8774,,28.2246
22,,22,0.9854,0.9463,0.8970,,29.4673
23,,23,0.9702,0.9473,0.9000,,30.7112
24,,24,0.9580,0.9609,0.9094,,31.9542
25,,25,0.9448,0.9629,0.8964,,33.1975
26,,26,0.9351,0.9648,0.9168,,34.4407
27,,27,0.9336,0.9707,0.9207,,35.6838
28,,28,0.9155,0.9746,0.9185,,36.9267
29,,29,0.9067,0.9824,0.9346,,38.1702
30,,30,0.8975,0.9873,0.9258,,39.4130
31,,31,0.8779,0.9980,0.9411,,40.6564
32,,32,0.8765,0.9980,0.9405,,41.8986
33,,33,0.8726,1.0000,0.9441,,43.1413
34,,34,0.8730,1.0000,0.9472,,44.3833
35,,35,0.8701,1.0000,0.9476,,45.6256
36,,36,0.8706,0.9990,0.9472,,46.8675
37,,eval,0.8706,0.9990,0.9472,0.9522,47.3888
