,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4482,0.6953,0.6866,,9.0102
1,,1,1.2197,0.8311,0.7962,,18.0343
2,,2,1.1826,0.8516,0.7872,,25.6138
3,,3,1.1250,0.8838,0.8515,,32.7616
4,,4,1.1055,0.8857,0.8388,,39.9071
5,,5,1.0811,0.8848,0.8536,,47.0382
6,,6,1.0938,0.8848,0.8438,,54.1015
7,,7,1.1152,0.8760,0.8130,,59.8309
8,,8,1.0752,0.8926,0.8590,,65.5570
9,,9,1.0889,0.8926,0.8185,,71.2696
10,,10,1.0938,0.8770,0.7971,,76.9979
11,,11,1.0664,0.8965,0.8704,,82.7374
12,,12,1.1016,0.8770,0.8225,,88.4567
13,,13,1.0879,0.8877,0.8630,,94.1747
14,,14,1.0791,0.8965,0.8001,,99.9025
15,,15,1.0498,0.9033,0.8343,,105.2591
16,,16,1.0537,0.8965,0.8719,,109.5847
17,,17,1.0234,0.9248,0.8642,,113.8977
18,,18,0.9980,0.9375,0.8823,,118.2263
19,,19,1.0059,0.9355,0.8924,,122.5539
20,,20,1.0059,0.9326,0.8790,,126.8929
21,,21,0.9736,0.9482,0.8933,,131.2056
22,,22,0.9995,0.9297,0.8527,,135.5281
23,,23,0.9644,0.9551,0.8904,,139.8465
24,,24,0.9629,0.9590,0.9154,,144.1382
25,,25,0.9629,0.9512,0.9062,,148.4672
26,,26,0.9365,0.9668,0.9047,,152.7618
27,,27,0.9346,0.9668,0.9109,,155.6360
28,,28,0.9062,0.9785,0.9184,,158.4893
29,,29,0.8940,0.9941,0.9350,,161.3467
30,,30,0.8936,0.9893,0.9324,,163.5514
31,,31,0.8784,1.0000,0.9420,,164.8229
32,,32,0.8779,0.9971,0.9378,,166.0913
33,,33,0.8726,1.0000,0.9471,,167.3607
34,,34,0.8726,0.9990,0.9490,,168.6294
35,,35,0.8711,1.0000,0.9472,,169.8985
36,,36,0.8701,1.0000,0.9491,,171.1673
37,,eval,0.8701,1.0000,0.9491,0.9531,171.6924
