,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8047,0.7256,0.5947,,0.4510
1,,1,0.5688,0.8125,0.7633,,0.8961
2,,2,0.4705,0.8438,0.7712,,1.3694
3,,3,0.5244,0.8242,0.6567,,1.7811
4,,4,0.4819,0.8369,0.7152,,2.2236
5,,5,0.4333,0.8535,0.7542,,2.6731
6,,6,0.4197,0.8535,0.7655,,3.1082
7,,7,0.3713,0.8682,0.7811,,3.5388
8,,8,0.3438,0.8828,0.8201,,3.9593
9,,9,0.3215,0.8916,0.8278,,4.3895
10,,10,0.2646,0.9102,0.8525,,4.8156
11,,11,0.1810,0.9434,0.8933,,5.5866
12,,12,0.1831,0.9463,0.8973,,5.9972
13,,13,0.1178,0.9658,0.9176,,6.4163
14,,14,0.0888,0.9736,0.9337,,6.8297
15,,15,0.0506,0.9922,0.9346,,7.2466
16,,eval,0.0506,0.9922,0.9346,0.9459,7.4470
