,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4561,0.7061,0.7087,,16.8493
1,,1,1.2344,0.8281,0.8066,,33.7513
2,,2,1.1719,0.8652,0.8497,,50.5047
3,,3,1.1162,0.8809,0.8158,,66.7463
4,,4,1.1211,0.8799,0.7697,,82.7193
5,,5,1.1133,0.8721,0.8139,,98.9453
6,,6,1.1191,0.8750,0.8490,,114.8858
7,,7,1.0830,0.8857,0.7324,,130.9065
8,,8,1.1006,0.8799,0.8118,,146.8320
9,,9,1.1045,0.8848,0.8386,,162.9848
10,,10,1.0801,0.8848,0.8022,,177.7958
11,,11,1.0752,0.8887,0.8498,,191.9159
12,,12,1.0381,0.9072,0.8514,,205.7785
13,,13,1.0459,0.9189,0.8690,,219.8911
14,,14,1.0459,0.9170,0.8762,,234.0683
15,,15,1.0430,0.9082,0.8786,,247.9951
16,,16,1.0430,0.9053,0.8518,,262.0855
17,,17,1.0225,0.9141,0.8834,,276.2121
18,,18,1.0176,0.9238,0.8701,,290.3983
19,,19,1.0049,0.9326,0.8835,,304.6019
20,,20,1.0010,0.9307,0.8562,,318.7472
21,,21,0.9849,0.9443,0.9042,,332.8490
22,,22,0.9824,0.9404,0.9034,,346.3282
23,,23,0.9717,0.9424,0.9016,,358.3677
24,,24,0.9878,0.9395,0.9193,,370.3712
25,,25,0.9507,0.9609,0.9037,,382.3895
26,,26,0.9375,0.9688,0.9156,,394.3879
27,,27,0.9351,0.9668,0.9147,,406.3949
28,,28,0.9092,0.9824,0.9220,,418.3950
29,,29,0.9106,0.9824,0.9324,,430.4183
30,,30,0.8896,0.9941,0.9262,,442.4411
31,,31,0.8828,0.9951,0.9359,,453.7708
32,,32,0.8755,0.9990,0.9404,,462.2448
33,,33,0.8726,0.9990,0.9423,,470.3702
34,,34,0.8701,1.0000,0.9459,,478.4828
35,,35,0.8706,0.9990,0.9463,,486.6015
36,,36,0.8691,1.0000,0.9481,,494.6861
37,,eval,0.8691,1.0000,0.9481,0.9531,497.8178
