,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,0.8027,0.7236,0.6930,,1.5413
1,,1,0.5522,0.8145,0.7638,,3.0594
2,,2,0.4944,0.8389,0.7368,,4.6892
3,,3,0.6318,0.7969,0.6092,,5.4077
4,,4,0.4778,0.8408,0.7839,,6.0537
5,,5,0.4263,0.8623,0.6538,,6.6976
6,,6,0.4014,0.8682,0.8069,,7.3410
7,,7,0.4180,0.8545,0.8273,,7.9855
8,,8,0.3389,0.8896,0.8126,,8.6284
9,,9,0.3740,0.8779,0.8580,,9.2725
10,,10,0.2725,0.9121,0.8485,,9.9153
11,,11,0.2018,0.9287,0.8877,,10.5590
12,,12,0.1791,0.9424,0.8847,,11.2025
13,,13,0.1322,0.9590,0.9184,,11.8463
14,,14,0.0751,0.9863,0.9309,,12.4888
15,,15,0.0564,0.9902,0.9351,,13.1321
16,,eval,0.0564,0.9902,0.9351,0.9439,13.4038
